Domain,IDF
go.trouter.skype.com.,2.995732273553991
edge-mqtt.facebook.com.,3.3843902633457743
www.youtube.com.,2.995732273553991
rss-dpd-service.ring.com.,3.3843902633457743
fw.ring.com.,3.3843902633457743
es.ring.com.,3.3843902633457743
vod.ring.com.,3.3843902633457743
dC-nA02-uSeaST1.CONNECt.smarTtHINgS.COm.,3.3843902633457743
guc3-accesspoint-a-4q9c.ap.spotify.com.,3.3843902633457743
apresolve.spotify.com.,2.517696472610991
n-deventry.tplinkcloud.com.,2.995732273553991
a2uowfjvhio0fa.iot.us-east-1.amazonaws.com.,3.3843902633457743
r.canaryis.com.,3.3843902633457743
pindorama.amazon.com.,2.995732273553991
connect.myqdevice.com.,3.3843902633457743
connect1.myqdevice.com.,3.3843902633457743
mtalk.google.com.,2.2129729343043585
n-devs.tplinkcloud.com.,2.995732273553991
mobile.pipe.aria.microsoft.com.,2.7245795030534206
relay5.getpiper.com.,3.3843902633457743
nexus.dropcam.com.,2.7245795030534206
oculus5648-us1.dropcam.com.,3.3843902633457743
dp-gw-na.amazon.com.,2.995732273553991
andr-785f3ec7eb-cbc62794911ff31b-2d74caf764bcd32191-2540659.na.api.amazonvideo.com.,3.3843902633457743
dp-discovery-na-ext.amazon.com.,3.3843902633457743
oculus1241-us1.dropcam.com.,3.3843902633457743
oculus1224-us1.dropcam.com.,3.3843902633457743
xbox.ipv6.microsoft.com.,3.3843902633457743
guc3-accesspoint-a-cwfk.ap.spotify.com.,3.3843902633457743
advisor.arloxcld.com.,3.3843902633457743
xbroker24-z2.arloxcld.com.,3.3843902633457743
mcs.arlo.com.,3.3843902633457743
updates.arlo.com.,3.3843902633457743
https.updates.arlo.com.edgekey.net.,3.3843902633457743
arlo-device.messaging.arlo.com.,3.3843902633457743
arlostatic-z2.s3.amazonaws.com.,3.3843902633457743
lechmere-v1.sslauth.sonos.com.,3.3843902633457743
conn-i-0a5d1f2a8c61a9f92-us-east-1.lechmere.prod.ws.sonos.com.,3.3843902633457743
bag.itunes.apple.com.,3.3843902633457743
su.itunes.apple.com.,3.3843902633457743
lutron.broker.xively.com.,3.3843902633457743
play.itunes.apple.com.,3.3843902633457743
gspe35-ssl.ls.apple.com.,2.995732273553991
repo.getpiper.com.,2.7245795030534206
mesu.apple.com.,2.995732273553991
e17437.dscb.akamaiedge.net.,3.3843902633457743
valid.origin-apple.com.akadns.net.,3.3843902633457743
android.clients.google.com.,2.7245795030534206
receive-lp1.dg.srv.nintendo.net.,3.3843902633457743
dm3p.wns.windows.com.,3.3843902633457743
1.irobot.pool.ntp.org.,3.3843902633457743
api.cc.skype.com.,3.3843902633457743
gsp10-ssl.apple.com.,3.3843902633457743
clients1.google.com.,2.7245795030534206
play-music.gstatic.com.,2.7245795030534206
configuration.apple.com.akadns.net.,3.3843902633457743
feature-config.sslauth.sonos.com.,2.995732273553991
esdk-ffl.spotify.com.,2.995732273553991
harman-podium.redbend.com.,3.3843902633457743
continuum.dds.microsoft.com.,3.3843902633457743
apps.mios.com.,3.3843902633457743
gsp-ssl.ls.apple.com.,2.995732273553991
gsp64-ssl.ls.apple.com.,2.995732273553991
mas-ext.amazon.com.,3.3843902633457743
update-timezone.sonos.com.,3.3843902633457743
service-catalog.ws.sonos.com.,3.3843902633457743
update.sonos.com.,3.3843902633457743
update-firmware.sonos.com.,3.3843902633457743
vera-us-oem-device11.mios.com.,3.3843902633457743
vera-us-oem-authd11.mios.com.,3.3843902633457743
vera-us-oem-account11.mios.com.,3.3843902633457743
cf-svcs.myharmony.com.,3.3843902633457743
mesu.g.aaplimg.com.,2.995732273553991
api.rokutime.com.,2.995732273553991
nrdp51-appboot.netflix.com.,3.3843902633457743
uiboot.netflix.com.,2.517696472610991
secure.netflix.com.,2.517696472610991
ichnaea.netflix.com.,2.517696472610991
customerevents.netflix.com.,2.517696472610991
device-messaging-na.amazon.com.,3.3843902633457743
prod.amazoncrl.com.,3.3843902633457743
d3h5bk8iotgjvw.cloudfront.net.,3.3843902633457743
todo-ta-g7g.amazon.com.,2.995732273553991
www.xboxab.com.,3.3843902633457743
i.ytimg.com.,3.3843902633457743
oqesn.np.dl.playstation.net.,3.3843902633457743
firmwareupdates.lutron.com.,3.3843902633457743
s3.amazonaws.com.,3.3843902633457743
102.177.233.64.in-addr.arpa.,3.3843902633457743
xsts.auth.xboxlive.com.,3.3843902633457743
update.xboxlive.com.,3.3843902633457743
displaycatalog.mp.microsoft.com.,3.3843902633457743
slscr.update.microsoft.com.,3.3843902633457743
fe3cr.delivery.mp.microsoft.com.,3.3843902633457743
fonts.googleapis.com.,3.3843902633457743
ajax.googleapis.com.,3.3843902633457743
fonts.gstatic.com.,3.3843902633457743
duo.google.com.,3.3843902633457743
apis.google.com.,3.3843902633457743
2.logitech.pool.ntp.org.,3.3843902633457743
august.pubnub.com.,3.3843902633457743
init-cdn.itunes-apple.com.akadns.net.,2.995732273553991
ptbtime2.ptb.de.,3.3843902633457743
time-a.nist.gov.,3.3843902633457743
retail-prod.web.roku.com.,2.995732273553991
time-c.netgear.com.,3.3843902633457743
time-b.netgear.com.,3.3843902633457743
2.irobot.pool.ntp.org.,3.3843902633457743
100.185.233.64.in-addr.arpa.,3.3843902633457743
geomobileservices-pa.googleapis.com.,3.3843902633457743
www.mgo.com.,3.3843902633457743
firebat-22-afts-30600.na.api.amazonvideo.com.,3.3843902633457743
h.canaryis.com.,3.3843902633457743
home.myharmony.com.,3.3843902633457743
weather.securifi.com.,3.3843902633457743
0.north-america.pool.ntp.org.,3.3843902633457743
ps4-system.sec.np.dl.playstation.net.,3.3843902633457743
sus.dhg.myharmony.com.,3.3843902633457743
encrypted-tbn2.gstatic.com.,3.3843902633457743
ktpx.amazon.com.,3.3843902633457743
time.windows.com.,2.995732273553991
